name,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,cyclic_delay,p_nom_opt,interconnector_name,counterparty_country,commissioning_year,source
H2_turbine_gen_H2_1050,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,66.591,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1051,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,29.95,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1052,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,12.572,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1053,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.324,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1054,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.081,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1055,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.02,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1056,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,3.384,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1057,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,13.18,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1058,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,4.541,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1059,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,2.788,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1060,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.608,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1061,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,9.093,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1062,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.868,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1063,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.491,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1064,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.747,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1065,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,26.299,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1066,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,3.705,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1067,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,12.366,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1068,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,6.165,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1069,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.464,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1070,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,5.27,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1071,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.737,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1072,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,40.534,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1073,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.001,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1074,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,3.246,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
