name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Iver_132kV_2035_121,Z14,PQ,,20.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,20.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Lovedean_2035_122,Z16,PQ,,6.1,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,6.1,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Mannington_2035_123,Z16,PQ,,95.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,95.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Melksham_2035_124,Z13,PQ,,392.693,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,392.693,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-2.946,51.817
FES_Battery_Minety_2035_125,Z13,PQ,,237.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,237.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-2.946,51.817
FES_Battery_Nursling_2035_126,Z16,PQ,,29.526,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,29.526,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Amersham_Main_2035_127,Z14,PQ,,205.2,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,205.2,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Braintree_2035_128,Z12,PQ,,11.7,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,11.7,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
FES_Battery_Bramford_2035_129,Z12,PQ,,173.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,173.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
FES_Battery_Burwell_Main_2035_130,Z12,PQ,,5.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,5.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
